_id,id_local,desc_distrito_local,desc_barrio_local,clase_vial_edificio,desc_situacion_local,Nombre,desc_periodo_terraza,desc_situacion_terraza,DESC_CLASE,DESC_NOMBRE,desc_ubicacion_terraza
1414,270161679,PUENTE DE VALLECAS  ,PALOMERAS SURESTE   ,AVENIDA                 ,Abierto,PAPALAGUINDA,Estacional,Abierta,CALLE                   ,ANDALUCES                                         ,Acera
1415,270158126,PUENTE DE VALLECAS  ,ENTREVIAS           ,CALLE                   ,Abierto,BAR SEVILLA,Anual,Abierta,CALLE                   ,CAMPI?A                                           ,Acera
1416,270542362,PUENTE DE VALLECAS  ,PALOMERAS SURESTE   ,AVENIDA                 ,Abierto,RAJOA,Anual,Abierta,AVENIDA                 ,PABLO NERUDA                                      ,Acera
1417,280057084,PUENTE DE VALLECAS  ,ENTREVIAS           ,CALLE                   ,Abierto,SUNAR GAON DONER KEBAP,Anual,Abierta,CALLE                   ,CARDE?OSA                                         ,Acera
1418,130001345,PUENTE DE VALLECAS  ,PALOMERAS BAJAS     ,CALLE                   ,Abierto,BAR LAS PIEDRAS,Anual,Abierta,CALLE                   ,CARLOS MARTIN ALVAREZ                             ,Acera
1419,130001367,PUENTE DE VALLECAS  ,ENTREVIAS           ,AVENIDA                 ,Abierto,BAR LA ZONA,Anual,Abierta,AVENIDA                 ,ENTREVIAS                                         ,Acera
1420,270485532,PUENTE DE VALLECAS  ,ENTREVIAS           ,AVENIDA                 ,Abierto,EL RINCON DE SUSI,Anual,Abierta,AVENIDA                 ,ENTREVIAS                                         ,Acera
1421,130002150,PUENTE DE VALLECAS  ,PALOMERAS SURESTE   ,CALLE                   ,Abierto,LA VILLA,Anual,Abierta,CALLE                   ,COCHERON DE LA VILLA                              ,Acera
1422,280057832,PUENTE DE VALLECAS  ,SAN DIEGO           ,CALLE                   ,Abierto,EL PUERTO,Anual,Abierta,CALLE                   ,CARLOS AURIOLES                                   ,Acera
1423,280059698,PUENTE DE VALLECAS  ,PALOMERAS BAJAS     ,CALLE                   ,Abierto,BAR ARRECIFE DEL ROCKERO,Anual,Abierta,CALLE                   ,FANTASIA                                          ,Acera
1424,270458323,PUENTE DE VALLECAS  ,PORTAZGO            ,CALLE                   ,Abierto,EL PASAJE,Anual,Abierta,CALLE                   ,HUMANES                                           ,Acera
1426,270440772,PUENTE DE VALLECAS  ,PALOMERAS BAJAS     ,CALLE                   ,Abierto,BAR CAFETERIA CODORNIZ,Anual,Abierta,CALLE                   ,JAVIER DE MIGUEL                                  ,Acera
1427,270442487,PUENTE DE VALLECAS  ,ENTREVIAS           ,CALLE                   ,Abierto,BAR MARIN,Estacional,Abierta,CALLE                   ,MEJORANA                                          ,Acera
1428,285037684,PUENTE DE VALLECAS  ,ENTREVIAS           ,CALLE                   ,Abierto,LA CREME DE LA CREME,Anual,Abierta,CALLE                   ,MIGUEL DE LA ROCA                                 ,Acera
1429,280058327,PUENTE DE VALLECAS  ,PORTAZGO            ,CALLE                   ,Abierto,BAR RESTAURANTE  LA FONTE,Anual,Abierta,CALLE                   ,GUILLERMO PINGARRON                               ,Acera
1431,270239094,PUENTE DE VALLECAS  ,NUMANCIA            ,CALLE                   ,Abierto,BAR TASIO,Anual,Abierta,CALLE                   ,LOPEZ GRASS                                       ,Acera
1432,280057501,PUENTE DE VALLECAS  ,SAN DIEGO           ,CALLE                   ,Abierto,LA CERVECERA 61,Anual,Abierta,CALLE                   ,MONTE PERDIDO                                     ,Acera
1434,270031079,PUENTE DE VALLECAS  ,ENTREVIAS           ,CALLE                   ,Abierto,BAR ARANDA,Anual,Abierta,CALLE                   ,PADRE LLANOS                                      ,Acera
1435,270498093,PUENTE DE VALLECAS  ,PALOMERAS BAJAS     ,AVENIDA                 ,Abierto,CERVECERIA COBAR,Anual,Abierta,AVENIDA                 ,PABLO NERUDA                                      ,Acera
1436,280058498,PUENTE DE VALLECAS  ,PORTAZGO            ,CALLE                   ,Abierto,BAR CERVECERIA IZQUIERDO,Anual,Abierta,CALLE                   ,PEDRO LABORDE                                     ,Acera
1437,280058340,PUENTE DE VALLECAS  ,PORTAZGO            ,AVENIDA                 ,Abierto,CAFETERIA LA AVENIDA,Anual,Abierta,AVENIDA                 ,PABLO NERUDA                                      ,Acera
1438,270480137,PUENTE DE VALLECAS  ,PALOMERAS BAJAS     ,AVENIDA                 ,Abierto,BAR TOMELLOSO,Anual,Abierta,AVENIDA                 ,PARQUE DE PALOMERAS BAJAS                         ,Acera
1439,285034092,PUENTE DE VALLECAS  ,ENTREVIAS           ,CALLE                   ,Abierto,CERVECERIA CHAMIZO,Anual,Abierta,CALLE                   ,PEIRONCELY                                        ,Acera
1440,130001288,PUENTE DE VALLECAS  ,SAN DIEGO           ,CALLE                   ,Abierto,EL RINC?N DE LA TABERNA,Anual,Abierta,CALLE                   ,PE?A GORBEA                                       ,Calle peatonal
1441,280057413,PUENTE DE VALLECAS  ,SAN DIEGO           ,CALLE                   ,Abierto,D?NER KEBAP REINA DE ESTAMBUL,Anual,Abierta,CALLE                   ,PE?A GORBEA                                       ,Acera
