Pais;Mes;Casos;Muertes;PIB;GastoSaludEstado;Poblacion;PorcentajeCasos;PorcentajeMuertes;PorcentajeGastoSalud
Botswana;7;629;1;14930.07246;649.1028162;2303703;0.000273039;4.34084E-07;0.0434762
Botswana;8;829;4;14930.07246;649.1028162;2303703;0.000359855;1.73633E-06;0.0434762
Botswana;9;1539;10;14930.07246;649.1028162;2303703;0.000668055;4.34084E-06;0.0434762
Botswana;10;3470;8;14930.07246;649.1028162;2303703;0.001506271;3.47267E-06;0.0434762
Botswana;11;3350;7;14930.07246;649.1028162;2303703;0.001454181;3.03859E-06;0.0434762
Botswana;12;2509;6;14930.07246;649.1028162;2303703;0.001089116;2.6045E-06;0.0434762
Brazil;1;0;0;1448559.976;65076.3648;211049519;0;0;0.044924867
Brazil;2;1;0;1448559.976;65076.3648;211049519;4.73822E-09;0;0.044924867
Brazil;3;4578;159;1448559.976;65076.3648;211049519;2.16916E-05;7.53378E-07;0.044924867
Brazil;4;73583;5307;1448559.976;65076.3648;211049519;0.000348653;2.51458E-05;0.044924867
Brazil;5;420278;23368;1448559.976;65076.3648;211049519;0.001991372;0.000110723;0.044924867
Brazil;6;869755;29480;1448559.976;65076.3648;211049519;0.004121094;0.000139683;0.044924867
Brazil;7;1241907;32949;1448559.976;65076.3648;211049519;0.005884434;0.00015612;0.044924867
Brazil;8;1252209;29565;1448559.976;65076.3648;211049519;0.005933247;0.000140086;0.044924867
Brazil;9;915211;22093;1448559.976;65076.3648;211049519;0.004336475;0.000104682;0.044924867
Brazil;10;739136;16556;1448559.976;65076.3648;211049519;0.003502192;7.8446E-05;0.044924867
Brazil;11;798082;13356;1448559.976;65076.3648;211049519;0.003781492;6.32837E-05;0.044924867
Brazil;12;587212;8569;1448559.976;65076.3648;211049519;0.002782342;4.06018E-05;0.044924867
Brunei Darussalam;3;127;1;12005.82576;254.931344;433296;0.000293102;2.30789E-06;0.02123397
Brunei Darussalam;4;11;0;12005.82576;254.931344;433296;2.53868E-05;0;0.02123397
Brunei Darussalam;5;3;1;12005.82576;254.931344;433296;6.92367E-06;2.30789E-06;0.02123397
Brunei Darussalam;6;0;1;12005.82576;254.931344;433296;0;2.30789E-06;0.02123397
Brunei Darussalam;7;0;0;12005.82576;254.931344;433296;0;0;0.02123397
Brunei Darussalam;8;3;0;12005.82576;254.931344;433296;6.92367E-06;0;0.02123397
Brunei Darussalam;9;2;0;12005.82576;254.931344;433296;4.61578E-06;0;0.02123397
Brunei Darussalam;10;2;0;12005.82576;254.931344;433296;4.61578E-06;0;0.02123397
Brunei Darussalam;11;2;0;12005.82576;254.931344;433296;4.61578E-06;0;0.02123397
Brunei Darussalam;12;2;0;12005.82576;254.931344;433296;4.61578E-06;0;0.02123397
Bulgaria;3;359;8;70240.27501;3084.009441;7000039;5.12854E-05;1.14285E-06;0.043906568
Bulgaria;4;1088;56;70240.27501;3084.009441;7000039;0.000155428;7.99996E-06;0.043906568
Bulgaria;5;1066;76;70240.27501;3084.009441;7000039;0.000152285;1.08571E-05;0.043906568
Bulgaria;6;2318;83;70240.27501;3084.009441;7000039;0.000331141;1.18571E-05;0.043906568
Bulgaria;7;6589;151;70240.27501;3084.009441;7000039;0.00094128;2.15713E-05;0.043906568
Bulgaria;8;4770;239;70240.27501;3084.009441;7000039;0.000681425;3.41427E-05;0.043906568
Bulgaria;9;4357;201;70240.27501;3084.009441;7000039;0.000622425;2.87141E-05;0.043906568
Bulgaria;10;30494;440;70240.27501;3084.009441;7000039;0.004356261;6.28568E-05;0.043906568
Bulgaria;11;91445;2560;70240.27501;3084.009441;7000039;0.013063499;0.000365712;0.043906568
Bulgaria;12;36963;1874;70240.27501;3084.009441;7000039;0.005280399;0.000267713;0.043906568
Burkina Faso;3;222;12;17933.60635;437.6267761;20321383;1.09245E-05;5.90511E-07;0.024402609
Burkina Faso;4;419;31;17933.60635;437.6267761;20321383;2.06187E-05;1.52549E-06;0.024402609
Burkina Faso;5;212;10;17933.60635;437.6267761;20321383;1.04324E-05;4.92092E-07;0.024402609
Burkina Faso;6;106;0;17933.60635;437.6267761;20321383;5.21618E-06;0;0.024402609
